Original_ID,Mapped_ID
1.796.7767,161
1.795.2000099,162
1.785.2000536,163
1.757.2000514,164
1.757.7517,165
1.818.2783,166
1.796.2000188,167
1.817.2000208,168
1.744.6736,169
1.744.7557,170
1.786.8345,171
1.775.2000447,172
1.795.1264,173
1.784.7795,174
1.818.7781,175
1.776.2143,176
1.795.7715,177
1.810.1368,178
1.3233.2000094,179
1.772.2000438,180
1.817.8329,181
1.744.2000140,182
1.817.2000231,183
1.804.1332,184
1.767.2000310,185
1.7147.2000043,186
1.818.3768,187
1.818.2000386,188
1.796.1285,189
1.785.3772,190
1.813.2000062,191
1.777.8178,192
1.777.1119,193
1.818.3083,194
1.8078.2000555,195
1.753.2000410,196
1.811.8269,197
1.810.2000206,198
1.787.1195,199
1.796.7716,200
1.785.2000384,201
1.785.2000332,202
1.787.1198,203
1.784.1149,204
1.767.2854,205
1.767.2000460,206
1.757.7115,207
1.744.2000503,208
1.785.3773,209
1.749.3004,210
1.749.8288,211
1.8092.2000364,212
1.785.8312,213
1.749.2000264,214
1.813.2000227,215
1.810.3655,216
1.810.1370,217
1.784.7513,218
1.749.893,219
1.801.2000276,220
1.792.7188,221
1.796.8294,222
1.772.2000171,223
1.772.7951,224
1.792.8234,225
1.784.8377,226
1.818.2784,227
1.811.1378,228
1.796.7621,229
1.795.1254,230
1.804.1322,231
1.8101.8368,232
1.804.2000326,233
1.817.2000431,234
1.767.8191,235
1.752.2000168,236
1.776.1116,237
1.7147.2000173,238
1.785.2000250,239
1.764.3797,240
1.744.8373,241
1.8096.2000565,242
1.801.2000556,243
1.787.2000181,244
1.767.3257,245
1.767.2848,246
1.804.3820,247
1.787.2000439,248
1.744.2000540,249
1.757.2000187,250
1.777.2000164,251
1.8091.8350,252
1.8091.2000443,253
1.784.8403,254
1.749.2000440,255
1.817.2000297,256
1.757.2000154,257
1.818.2000560,258
1.749.8308,259
1.784.2000328,260
1.766.200036,261
1.744.8340,262
1.806.3224,263
1.753.912,264
1.781.1135,265
1.785.2000285,266
1.808.1490,267
1.795.1247,268
1.757.2000292,269
1.796.7958,270
1.796.2000139,271
1.811.2000284,272
1.817.2000048,273
1.813.3252,274
1.8091.2000341,275
1.771.3027,276
1.801.2000527,277
1.801.2000611,278
1.801.2000121,279
1.777.7711,280
1.818.1456,281
1.795.1268,282
1.8079.2000191,283
1.744.2000541,284
1.772.2000157,285
1.760.3790,286
1.818.3769,287
1.771.1087,288
1.785.8289,289
1.804.2000268,290
1.753.3860,291
1.804.1328,292
1.753.7540,293
1.767.2000218,294
1.810.1369,295
1.808.2000242,296
1.753.7330,297
1.744.2000617,298
1.796.2000189,299
1.772.7588,300
1.813.2000267,301
1.795.1252,302
1.782.8380,303
1.749.2000594,304
1.8102.8369,305
1.753.7539,306
1.785.3774,307
1.792.2000311,308
1.787.1191,309
1.801.2000612,310
1.749.2000294,311
1.818.2127,312
1.771.7514,313
1.800.1299,314
1.785.2000230,315
1.796.2000213,316
1.792.2101,317
1.749.8297,318
1.781.3750,319
1.772.6739,320
1.8096.2000523,321
1.811.6748,322
1.8096.8364,323
1.781.2090,324
1.817.2000578,325
1.782.2000305,326
1.792.2000175,327
1.752.7987,328
1.767.2000272,329
1.817.1442,330
1.808.2000128,331
1.818.2000045,332
1.777.8300,333
1.817.3761,334
1.8106.2000567,335
1.8104.8379,336
1.749.2000595,337
1.813.2000581,338
1.800.1294,339
1.752.900,340
1.785.2094,341
1.3233.2000407,342
1.757.950,343
1.775.8317,344
1.796.2000101,345
1.792.1216,346
1.808.2000424,347
1.8101.2000592,348
1.766.1031,349
1.749.8296,350
1.767.1061,351
1.818.3763,352
1.817.7952,353
1.785.7960,354
1.3233.3785,355
1.795.2000378,356
1.781.8265,357
1.8091.2000585,358
1.749.2000370,359
1.775.2000371,360
1.800.1296,361
1.757.2000449,362
1.750.2059,363
1.749.2000085,364
1.795.2000205,365
1.782.2000510,366
1.785.2000559,367
1.792.1224,368
1.808.2000335,369
1.806.3057,370
1.8114.2000602,371
1.792.2000160,372
1.792.2000162,373
1.777.2000526,374
1.6733.8319,375
1.8101.2000593,376
1.818.1475,377
1.817.3760,378
1.8096.2000524,379
1.817.2000553,380
1.753.905,381
1.795.7623,382
1.795.2000428,383
1.744.3732,384
1.764.2073,385
1.744.841,386
1.3233.8169,387
1.813.2000104,388
1.813.1402,389
1.795.6750,390
1.775.3806,391
1.817.2000430,392
1.792.2000405,393
1.786.3817,394
1.767.1056,395
1.750.897,396
1.804.7455,397
1.782.2000186,398
1.754.2063,399
1.818.2000346,400
1.796.7138,401
1.776.2000317,402
1.777.2000506,403
1.3233.3239,404
1.7137.1483,405
1.744.2000184,406
1.744.6721,407
1.814.8284,408
1.811.3757,409
1.808.2000338,410
1.757.2000080,411
1.784.8147,412
1.795.2000226,413
1.757.1492,414
1.818.1477,415
1.8102.8370,416
1.796.2000625,417
1.772.2000069,418
1.749.2000295,419
1.744.2053,420
1.744.2000082,421
1.785.7113,422
1.817.8400,423
1.744.843,424
1.813.2000600,425
1.749.2000614,426
1.784.1155,427
1.813.2000442,428
1.7147.7149,429
1.787.3752,430
1.8104.2000583,431
1.777.2000435,432
,433
1.787.1193,434
1.817.2000210,435
1.810.2119,436
1.813.2000118,437
1.804.8171,438
1.792.6753,439
1.818.1473,440
1.7280.7294,441
1.792.1226,442
1.749.2000530,443
1.754.922,444
1.7147.2000105,445
1.792.7985,446
1.6733.8320,447
1.766.2000403,448
1.7190.8173,449
1.813.1385,450
1.785.2000421,451
1.785.2000605,452
1.796.2105,453
1.744.2000455,454
1.749.2000566,455
1.767.1054,456
1.795.3753,457
1.817.2000444,458
1.767.7160,459
1.808.2000613,460
